"ClientAccountID","Symbol","Description","UnderlyingSecurityID","Strike","ReportDate","Expiry","Buy/Sell","DateTime","Put/Call","TradeDate","SettleDateTarget","TransactionType","Quantity","TradePrice","TradeMoney","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","CostBasis","FifoPnlRealized","OrderTime","OpenDateTime","LevelOfDetail","TradeID","MtmPnl","TransactionID","IBExecID","RelatedTransactionID","OrderReference"
"U2842030","XOM","EXXON MOBIL CORP","","","20210512","","SELL","20210511;162000","","20210511","20210513","BookTrade","-100","50","-5000","4999.9626","60.04","C","A","-7797.69","-2561.518438","","","EXECUTION","3764387633","-1004","16372509906","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210512","","SELL","20210511;162000","","20210511","20210513","BookTrade","-100","45","-4500","4499.96515","60.04","C","A","-7745.099128","-2855.798397","","","EXECUTION","3764387779","-1504","16372510052","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210512","","SELL","20210511;162000","","20210511","20210513","BookTrade","-200","47.5","-9500","9499.92775","60.04","C","A","-14273","-4208.806358","","","EXECUTION","3764387863","-2508","16372510137","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210512","","SELL","20210511;162000","","20210511","20210513","BookTrade","-100","50","-5000","4999.9626","60.04","C","A","-7375.8525","-2161.980452","","","EXECUTION","3764388553","-1004","16372510967","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210705","","SELL","20210702;162000","","20210702","20210707","BookTrade","-100","60.5","-6050","6049.957245","63.17","C","A","-7375.8525","-1149.605958","","","EXECUTION","3900305567","-267","16942284965","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210816","","BUY","20210813;162000","","20210813","20210817","BookTrade","100","65","6500","-6500","55.94","O","A","6500","0","","","EXECUTION","4004348659","-906","17393597409","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20211110","","SELL","20211109;162000","","20211109","20211112","BookTrade","-100","50","-5000","4999.9626","64.19","C","A","-7352.454049","-1670.241343","","","EXECUTION","4225454217","-1419","18358275971","","",""
"U2842030","AMD   210115C00032000","AMD 15JAN21 32.0 C","US0079031078","32","20210105","20210115","BUY","20210105;134638","C","20210105","20210106","ExchTrade","1","60.42","6042","-6042.6338","60.7998","C","","1933.314166","-4109.319634","20210105;134638","","EXECUTION","3348874663","37.98","14798296523","0000f65a.5ff4bca1.03.01","",""
"U2842030","AMD   210115C00037000","AMD 15JAN21 37.0 C","US0079031078","37","20210105","20210115","BUY","20210105;134905","C","20210105","20210106","ExchTrade","1","55.35","5535","-5535.6338","55.8","C","","1561.871846","-3973.761954","20210105;134905","","EXECUTION","3348886424","45","14798332531","0000f65a.5ff4bd41.03.01","",""
"U2842030","AMD   210115C00037000","AMD 15JAN21 37.0 C","US0079031078","37","20210105","20210115","BUY","20210105;145335","C","20210105","20210106","ExchTrade","1","54.8","5480","-5480.6338","55.8","C","","1574.319393","-3906.314407","20210105;145335","","EXECUTION","3349220787","100","14799147541","0000f65a.5ff4ccc6.03.01","",""
"U2842030","AMD   210115C00040000","AMD 15JAN21 40.0 C","US0079031078","40","20210105","20210115","BUY","20210105;134806","C","20210105","20210106","ExchTrade","1","52.39","5239","-5239.6338","52.8001","C","","1355.87611","-3883.75769","20210105;134806","","EXECUTION","3348881732","41.01","14798318493","0000f65a.5ff4bd16.03.01","",""
"U2842030","AMD   210115C00040000","AMD 15JAN21 40.0 C","US0079031078","40","20210105","20210115","BUY","20210105;134910","C","20210105","20210106","ExchTrade","1","52.28","5228","-5228.6338","52.8001","C","","1383.87553","-3844.75827","20210105;134910","","EXECUTION","3348888043","52.01","14798334218","0000f65a.5ff4bd4d.03.01","",""
"U2842030","AMD   210115C00040000","AMD 15JAN21 40.0 C","US0079031078","40","20210105","20210115","BUY","20210105;135213","C","20210105","20210106","ExchTrade","1","52.15","5215","-5215.6338","52.8001","C","","1380.875593","-3834.758207","20210105;135213","","EXECUTION","3348900851","65.01","14798367494","0000f65a.5ff4be15.03.01","",""
"U2842030","AMD   210115C00040000","AMD 15JAN21 40.0 C","US0079031078","40","20210105","20210115","BUY","20210105;135835","C","20210105","20210106","ExchTrade","1","52.29","5229","-5229.6338","52.8001","C","","1366.875882","-3862.757918","20210105;135835","","EXECUTION","3348933200","51.01","14798442399","0000f65a.5ff4bf7e.03.01","",""
"U2842030","AMD   210115C00040000","AMD 15JAN21 40.0 C","US0079031078","40","20210105","20210115","BUY","20210105;141132","C","20210105","20210106","ExchTrade","1","52.16","5216","-5216.6338","52.8001","C","","1983.860332","-3232.773468","20210105;141132","","EXECUTION","3349010496","64.01","14798607323","0000f65a.5ff4c2f5.03.01","",""
"U2842030","AMD   210115C00045000","AMD 15JAN21 45.0 C","US0079031078","45","20210106","20210115","BUY","20210106;093017","C","20210106","20210107","ExchTrade","1","46.69","4669","-4670.0838","45.3893","C","","1635.868022","-3034.215778","20210106;093017","","EXECUTION","3350435872","-130.07","14808368534","00014247.5ff5aee8.03.01","",""
"U2842030","AMD   210115C00060000","AMD 15JAN21 60.0 C","US0079031078","60","20210105","20210115","BUY","20210105;135005","C","20210105","20210106","ExchTrade","1","32.2","3220","-3221.0838","32.8008","C","","644.319946","-2576.763854","20210105;135005","","EXECUTION","3348890476","60.08","14798349174","000130ce.5ff4a800.03.01","",""
"U2842030","AMD   210319C00038000","AMD 19MAR21 38.0 C","US0079031078","38","20210217","20210319","BUY","20210217;100406","C","20210217","20210218","ExchTrade","1","51.58","5158","-5159.0838","52.1666","C","","2209.855337","-2949.228463","20210217;100406","","EXECUTION","3509883798","58.66","15383770814","00014247.602d2c6a.02.01","",""
"U2842030","AMD   210319C00040000","AMD 19MAR21 40.0 C","US0079031078","40","20210223","20210319","BUY","20210223;094155","C","20210223","20210224","ExchTrade","1","40.91","4091","-4092.0838","44.88","C","","1468.321735","-2623.762065","20210223;094155","","EXECUTION","3533530962","397","15468160032","00014247.60350d4d.03.01","",""
"U2842030","AMD   210319C00045000","AMD 19MAR21 45.0 C","US0079031078","45","20210222","20210319","BUY","20210222;093012","C","20210222","20210223","ExchTrade","1","43.1","4310","-4311.0838","40.6353","C","","1698.86663","-2612.21717","20210222;093012","","EXECUTION","3526282997","-246.47","15444600884","00014247.6033a506.03.01","",""
"U2842030","AMD   210319C00047000","AMD 19MAR21 47.0 C","US0079031078","47","20210319","20210319","BUY","20210319;162000","C","20210319","20210322","BookTrade","1","0","0","0","32.06","C","A","1620.868354","0","","","EXECUTION","3632549155","3206","15831382104","","",""
"U2842030","AMD   210319C00050000","AMD 19MAR21 50.0 C","US0079031078","50","20210317","20210319","BUY","20210317;093909","C","20210317","20210318","ExchTrade","1","31.15","3115","-3115.7338","32.6421","C","","1421.872752","-1693.861048","20210317;093909","","EXECUTION","3620126596","149.21","15784702345","00014247.6051f0ec.03.01","",""
"U2842030","AMD   210416C00060000","AMD 16APR21 60.0 C","US0079031078","60","20210223","20210416","SELL","20210223;094155","C","20210223","20210224","ExchTrade","-1","21.38","-2138","2136.8669502","25.1397","O","","-2136.8669502","0","20210223;094155","","EXECUTION","3533542663","-375.97","15468351429","00014247.60350d4d.02.01","",""
"U2842030","AMD   210416C00060000","AMD 16APR21 60.0 C","US0079031078","60","20210413","20210416","BUY","20210413;115810","C","20210413","20210414","ExchTrade","1","19.67","1967","-1968.5128","20.19","C","","2136.86695","168.35415","20210413;115808","","EXECUTION","3691470112","52","16070834017","00021ab9.6075b2fd.02.01","",""
"U2842030","AMD   210917C00060000","AMD 17SEP21 60.0 C","US0079031078","60","20210413","20210917","SELL","20210413;115810","C","20210413","20210414","ExchTrade","-1","21.27","-2127","2125.4381933","21.7225","O","","-2125.4381933","0","20210413;115808","","EXECUTION","3691468647","-45.25","16070810326","00021ab9.6075b2fd.03.01","",""
"U2842030","AMD   210917C00060000","AMD 17SEP21 60.0 C","US0079031078","60","20210917","20210917","BUY","20210917;162000","C","20210917","20210920","BookTrade","1","0","0","0","43.88","C","A","2125.438193","0","","","EXECUTION","4087164475","4388","17761138012","","",""
"U2842030","AMD   210917C00092500","AMD 17SEP21 92.5 C","US0079031078","92.5","20210105","20210917","SELL","20210105;134806","C","20210105","20210106","ExchTrade","-1","16.32","-1632","1631.3281328","16.5253","O","","-1631.3281328","0","20210105;134806","","EXECUTION","3348882820","-20.53","14798321759","0000f65a.5ff4bd16.02.01","",""
"U2842030","AMD   210917C00092500","AMD 17SEP21 92.5 C","US0079031078","92.5","20210907","20210917","BUY","20210907;121301","C","20210907","20210908","ExchTrade","1","16.82","1682","-1682.70215","16.7412","C","","1631.328133","-51.374017","20210907;111725","","EXECUTION","4058696021","-7.88","17633158072","00021ab9.61377591.03.01","",""
"U2842030","AMD   210917P00072500","AMD 17SEP21 72.5 P","US0079031078","72.5","20210317","20210917","SELL","20210317;120031","P","20210317","20210318","ExchTrade","-1","6.1","-610","609.200719","5.5181","O","","-609.200719","0","20210317;120031","","EXECUTION","3621618201","58.19","15788869860","0001162e.60521445.01.01","",""
